date,item_id,item_name,category,brand,price,competitor_price,promo,promo_type,discount_depth,holiday,payday,is_weekend,temperature,stockout,demand
2023-02-09,item_001,Milk 1L,Dairy,FreshFarm,222.12,234.97,0,none,0.0,0,0,0,5.9,0,43
2023-02-10,item_001,Milk 1L,Dairy,FreshFarm,224.06,230.73,0,none,0.0,0,0,0,3.7,0,51
2023-02-11,item_001,Milk 1L,Dairy,FreshFarm,221.34,229.93,0,none,0.0,0,0,1,3.6,0,63
2023-02-12,item_001,Milk 1L,Dairy,FreshFarm,221.06,211.82,0,none,0.0,0,0,1,9.7,0,44
2023-02-13,item_001,Milk 1L,Dairy,FreshFarm,222.59,233.8,0,none,0.0,0,0,0,6.4,1,0
2023-02-14,item_001,Milk 1L,Dairy,FreshFarm,224.03,225.16,0,none,0.0,1,0,0,6.3,0,39
2023-02-15,item_001,Milk 1L,Dairy,FreshFarm,211.03,210.72,1,discount,0.05,0,0,0,9.4,0,41
2023-02-16,item_001,Milk 1L,Dairy,FreshFarm,223.81,219.83,0,none,0.0,0,0,0,8.1,0,29
2023-02-17,item_001,Milk 1L,Dairy,FreshFarm,221.46,226.86,0,none,0.0,0,0,0,3.2,0,48
2023-02-18,item_001,Milk 1L,Dairy,FreshFarm,211.41,225.68,1,discount,0.05,0,0,1,5.5,0,99
2023-02-19,item_001,Milk 1L,Dairy,FreshFarm,221.07,233.01,0,none,0.0,0,0,1,4.0,0,55
2023-02-20,item_001,Milk 1L,Dairy,FreshFarm,224.04,220.07,0,none,0.0,0,1,0,8.7,0,21
2023-02-21,item_001,Milk 1L,Dairy,FreshFarm,219.46,225.89,0,none,0.0,0,0,0,8.6,0,31
2023-02-22,item_001,Milk 1L,Dairy,FreshFarm,218.22,213.38,0,none,0.0,0,0,0,9.3,0,16
2023-02-23,item_001,Milk 1L,Dairy,FreshFarm,221.85,215.3,0,none,0.0,1,0,0,6.8,0,63
2023-02-24,item_001,Milk 1L,Dairy,FreshFarm,220.9,233.09,0,none,0.0,0,0,0,13.6,0,45
2023-02-25,item_001,Milk 1L,Dairy,FreshFarm,222.2,215.04,0,none,0.0,0,1,1,14.7,0,62
2023-02-26,item_001,Milk 1L,Dairy,FreshFarm,218.39,223.58,0,none,0.0,0,0,1,5.7,0,44
2023-02-27,item_001,Milk 1L,Dairy,FreshFarm,219.95,225.62,0,none,0.0,0,0,0,11.1,0,36
2023-02-28,item_001,Milk 1L,Dairy,FreshFarm,219.17,228.9,0,none,0.0,0,0,0,5.8,0,22
2023-03-01,item_001,Milk 1L,Dairy,FreshFarm,218.75,215.89,0,none,0.0,0,0,0,8.0,0,33
2023-03-02,item_001,Milk 1L,Dairy,FreshFarm,218.2,230.13,0,none,0.0,0,0,0,10.6,0,42
2023-03-03,item_001,Milk 1L,Dairy,FreshFarm,220.53,226.22,0,none,0.0,0,0,0,11.5,0,58
2023-03-04,item_001,Milk 1L,Dairy,FreshFarm,219.93,209.94,0,none,0.0,0,0,1,8.2,0,70
2023-03-05,item_001,Milk 1L,Dairy,FreshFarm,219.7,219.7,0,none,0.0,0,1,1,14.7,0,52
2023-03-06,item_001,Milk 1L,Dairy,FreshFarm,220.67,217.18,0,none,0.0,0,0,0,13.1,0,26
2023-03-07,item_001,Milk 1L,Dairy,FreshFarm,218.22,213.12,0,none,0.0,0,0,0,10.5,0,12
2023-03-08,item_001,Milk 1L,Dairy,FreshFarm,218.41,207.65,0,none,0.0,1,0,0,11.9,0,40
2023-03-09,item_001,Milk 1L,Dairy,FreshFarm,220.54,219.77,0,none,0.0,0,0,0,10.3,0,50
2023-03-10,item_001,Milk 1L,Dairy,FreshFarm,221.3,227.47,0,none,0.0,0,0,0,11.9,0,49
2023-03-11,item_001,Milk 1L,Dairy,FreshFarm,220.6,221.68,0,none,0.0,0,0,1,13.9,0,48
2023-03-12,item_001,Milk 1L,Dairy,FreshFarm,220.86,228.17,0,none,0.0,0,0,1,10.6,0,52
2023-03-13,item_001,Milk 1L,Dairy,FreshFarm,177.47,227.01,1,discount,0.2,0,0,0,14.0,0,53
2023-03-14,item_001,Milk 1L,Dairy,FreshFarm,220.78,225.23,0,none,0.0,0,0,0,18.0,0,27
2023-03-15,item_001,Milk 1L,Dairy,FreshFarm,219.75,217.52,0,none,0.0,0,0,0,10.7,0,33
2023-03-16,item_001,Milk 1L,Dairy,FreshFarm,221.24,211.57,0,none,0.0,0,0,0,13.1,0,53
2023-03-17,item_001,Milk 1L,Dairy,FreshFarm,219.09,226.05,0,none,0.0,0,0,0,18.3,0,57
2023-03-18,item_001,Milk 1L,Dairy,FreshFarm,220.4,221.44,0,none,0.0,0,0,1,5.9,0,62
2023-03-19,item_001,Milk 1L,Dairy,FreshFarm,222.41,216.22,0,none,0.0,0,0,1,12.6,0,49
2023-03-20,item_001,Milk 1L,Dairy,FreshFarm,219.31,226.37,0,none,0.0,0,1,0,11.4,0,44
2023-03-21,item_001,Milk 1L,Dairy,FreshFarm,219.83,208.99,0,none,0.0,0,0,0,13.3,0,23
2023-03-22,item_001,Milk 1L,Dairy,FreshFarm,219.86,226.85,0,none,0.0,0,0,0,16.3,0,23
2023-03-23,item_001,Milk 1L,Dairy,FreshFarm,220.24,219.88,0,none,0.0,0,0,0,15.2,0,59
2023-03-24,item_001,Milk 1L,Dairy,FreshFarm,218.33,215.4,0,none,0.0,0,0,0,12.8,0,52
2023-03-25,item_001,Milk 1L,Dairy,FreshFarm,220.64,229.93,0,none,0.0,0,1,1,11.1,0,62
2023-03-26,item_001,Milk 1L,Dairy,FreshFarm,219.72,219.55,0,none,0.0,0,0,1,11.1,0,58
2023-03-27,item_001,Milk 1L,Dairy,FreshFarm,220.54,219.89,0,none,0.0,0,0,0,20.4,0,31
2023-03-28,item_001,Milk 1L,Dairy,FreshFarm,222.14,221.09,0,none,0.0,0,0,0,19.5,0,17
2023-03-29,item_001,Milk 1L,Dairy,FreshFarm,220.69,230.63,0,none,0.0,0,0,0,21.2,0,48
2023-03-30,item_001,Milk 1L,Dairy,FreshFarm,218.57,223.91,0,none,0.0,0,0,0,18.3,0,58
2023-03-31,item_001,Milk 1L,Dairy,FreshFarm,220.94,216.05,0,none,0.0,0,0,0,15.1,0,69
2023-04-01,item_001,Milk 1L,Dairy,FreshFarm,221.98,212.97,0,none,0.0,0,0,1,17.1,0,59
2023-04-02,item_001,Milk 1L,Dairy,FreshFarm,221.45,225.65,0,none,0.0,0,0,1,12.8,0,50
2023-04-03,item_001,Milk 1L,Dairy,FreshFarm,221.2,228.92,0,none,0.0,0,0,0,21.1,0,24
2023-04-04,item_001,Milk 1L,Dairy,FreshFarm,218.65,210.87,0,none,0.0,0,0,0,14.6,0,22
2023-04-05,item_001,Milk 1L,Dairy,FreshFarm,221.88,217.86,0,none,0.0,0,1,0,16.2,0,59
2023-04-06,item_001,Milk 1L,Dairy,FreshFarm,218.48,229.3,0,none,0.0,0,0,0,20.1,0,46
2023-04-07,item_001,Milk 1L,Dairy,FreshFarm,219.37,221.44,0,none,0.0,0,0,0,18.7,0,76
2023-04-08,item_001,Milk 1L,Dairy,FreshFarm,219.7,216.46,0,none,0.0,0,0,1,23.0,0,61
2023-04-09,item_001,Milk 1L,Dairy,FreshFarm,196.39,209.89,1,display,0.1,0,0,1,21.2,0,85
2023-04-10,item_001,Milk 1L,Dairy,FreshFarm,222.41,227.22,0,none,0.0,0,0,0,22.3,0,48
2023-04-11,item_001,Milk 1L,Dairy,FreshFarm,185.62,222.72,1,bundle,0.15,0,0,0,12.8,0,60
2023-04-12,item_001,Milk 1L,Dairy,FreshFarm,221.69,226.87,0,none,0.0,0,0,0,18.6,0,36
2023-04-13,item_001,Milk 1L,Dairy,FreshFarm,220.3,230.57,0,none,0.0,0,0,0,11.4,0,54
2023-04-14,item_001,Milk 1L,Dairy,FreshFarm,221.44,220.92,0,none,0.0,0,0,0,22.3,0,56
2023-04-15,item_001,Milk 1L,Dairy,FreshFarm,196.72,208.16,1,discount,0.1,0,0,1,27.2,0,84
2023-04-16,item_001,Milk 1L,Dairy,FreshFarm,221.41,207.25,0,none,0.0,0,0,1,14.0,0,59
2023-04-17,item_001,Milk 1L,Dairy,FreshFarm,218.38,210.06,0,none,0.0,0,0,0,16.9,0,42
2023-04-18,item_001,Milk 1L,Dairy,FreshFarm,222.08,223.05,0,none,0.0,0,0,0,19.7,0,38
2023-04-19,item_001,Milk 1L,Dairy,FreshFarm,218.39,217.32,0,none,0.0,0,0,0,21.5,0,32
2023-04-20,item_001,Milk 1L,Dairy,FreshFarm,219.33,220.79,0,none,0.0,0,1,0,20.8,0,53
2023-04-21,item_001,Milk 1L,Dairy,FreshFarm,207.66,230.37,1,bundle,0.05,0,0,0,18.6,0,93
2023-04-22,item_001,Milk 1L,Dairy,FreshFarm,219.98,217.02,0,none,0.0,0,0,1,23.3,0,50
2023-04-23,item_001,Milk 1L,Dairy,FreshFarm,221.94,220.26,0,none,0.0,0,0,1,28.4,0,51
2023-04-24,item_001,Milk 1L,Dairy,FreshFarm,222.06,228.25,0,none,0.0,0,0,0,23.8,0,43
2023-04-25,item_001,Milk 1L,Dairy,FreshFarm,218.88,230.46,0,none,0.0,0,1,0,20.6,0,42
2023-04-26,item_001,Milk 1L,Dairy,FreshFarm,220.42,207.33,0,none,0.0,0,0,0,23.7,0,35
2023-04-27,item_001,Milk 1L,Dairy,FreshFarm,221.62,209.99,0,none,0.0,0,0,0,22.2,0,51
2023-04-28,item_001,Milk 1L,Dairy,FreshFarm,222.31,225.36,0,none,0.0,0,0,0,21.0,0,46
2023-04-29,item_001,Milk 1L,Dairy,FreshFarm,218.39,230.21,0,none,0.0,0,0,1,20.1,0,40
2023-04-30,item_001,Milk 1L,Dairy,FreshFarm,221.58,225.24,0,none,0.0,0,0,1,16.8,0,55
2023-05-01,item_001,Milk 1L,Dairy,FreshFarm,221.24,213.0,0,none,0.0,1,0,0,22.8,0,40
2023-05-02,item_001,Milk 1L,Dairy,FreshFarm,222.34,218.26,0,none,0.0,0,0,0,18.5,0,47
2023-05-03,item_001,Milk 1L,Dairy,FreshFarm,175.85,230.02,1,discount,0.2,0,0,0,23.8,0,75
2023-05-04,item_001,Milk 1L,Dairy,FreshFarm,221.54,223.73,0,none,0.0,0,0,0,23.0,0,53
2023-05-05,item_001,Milk 1L,Dairy,FreshFarm,220.08,212.47,0,none,0.0,0,1,0,20.4,0,60
2023-05-06,item_001,Milk 1L,Dairy,FreshFarm,218.24,209.08,0,none,0.0,0,0,1,21.3,0,56
2023-05-07,item_001,Milk 1L,Dairy,FreshFarm,218.36,219.87,0,none,0.0,0,0,1,22.0,0,48
2023-05-08,item_001,Milk 1L,Dairy,FreshFarm,220.65,207.42,0,none,0.0,0,0,0,23.6,0,31
2023-05-09,item_001,Milk 1L,Dairy,FreshFarm,218.77,222.17,0,none,0.0,1,0,0,26.0,0,36
2023-05-10,item_001,Milk 1L,Dairy,FreshFarm,218.32,231.92,0,none,0.0,0,0,0,23.4,0,46
2023-05-11,item_001,Milk 1L,Dairy,FreshFarm,221.78,209.28,0,none,0.0,0,0,0,23.6,0,54
2023-05-12,item_001,Milk 1L,Dairy,FreshFarm,218.54,208.76,0,none,0.0,0,0,0,21.5,0,58
2023-05-13,item_001,Milk 1L,Dairy,FreshFarm,220.38,221.85,0,none,0.0,0,0,1,20.7,0,63
2023-05-14,item_001,Milk 1L,Dairy,FreshFarm,187.19,230.13,1,discount,0.15,0,0,1,26.4,0,83
2023-05-15,item_001,Milk 1L,Dairy,FreshFarm,187.62,218.76,1,discount,0.15,0,0,0,23.4,0,84
2023-05-16,item_001,Milk 1L,Dairy,FreshFarm,222.21,212.74,0,none,0.0,0,0,0,28.2,0,30
2023-05-17,item_001,Milk 1L,Dairy,FreshFarm,219.23,232.85,0,none,0.0,0,0,0,24.9,0,35
2023-05-18,item_001,Milk 1L,Dairy,FreshFarm,219.77,222.85,0,none,0.0,0,0,0,22.9,0,45
2023-05-19,item_001,Milk 1L,Dairy,FreshFarm,218.76,232.81,0,none,0.0,0,0,0,19.4,0,55
2023-05-20,item_001,Milk 1L,Dairy,FreshFarm,220.08,213.74,0,none,0.0,0,1,1,28.7,0,66
2023-05-21,item_001,Milk 1L,Dairy,FreshFarm,220.28,229.49,0,none,0.0,0,0,1,25.3,0,56
2023-05-22,item_001,Milk 1L,Dairy,FreshFarm,211.2,208.2,1,display,0.05,0,0,0,23.9,0,57
2023-05-23,item_001,Milk 1L,Dairy,FreshFarm,219.64,204.69,0,none,0.0,0,0,0,24.8,0,36
2023-05-24,item_001,Milk 1L,Dairy,FreshFarm,216.05,205.34,0,none,0.0,0,0,0,27.8,0,28
2023-05-25,item_001,Milk 1L,Dairy,FreshFarm,216.21,222.64,0,none,0.0,0,1,0,24.4,0,75
2023-05-26,item_001,Milk 1L,Dairy,FreshFarm,224.18,215.77,0,none,0.0,0,0,0,21.3,0,57
2023-05-27,item_001,Milk 1L,Dairy,FreshFarm,211.83,233.33,1,discount,0.05,0,0,1,25.6,0,112
2023-05-28,item_001,Milk 1L,Dairy,FreshFarm,224.77,230.42,0,none,0.0,0,0,1,23.8,0,54
2023-05-29,item_001,Milk 1L,Dairy,FreshFarm,222.09,227.77,0,none,0.0,0,0,0,21.7,0,35
2023-05-30,item_001,Milk 1L,Dairy,FreshFarm,223.3,225.74,0,none,0.0,0,0,0,18.0,0,35
2023-05-31,item_001,Milk 1L,Dairy,FreshFarm,221.45,224.03,0,none,0.0,0,0,0,31.8,0,51
2023-06-01,item_001,Milk 1L,Dairy,FreshFarm,186.75,225.82,1,display,0.15,0,0,0,24.1,0,77
2023-06-02,item_001,Milk 1L,Dairy,FreshFarm,220.94,216.76,0,none,0.0,0,0,0,25.4,0,72
2023-06-03,item_001,Milk 1L,Dairy,FreshFarm,220.22,213.41,0,none,0.0,0,0,1,22.0,0,78
2023-06-04,item_001,Milk 1L,Dairy,FreshFarm,223.95,221.46,0,none,0.0,0,0,1,25.6,0,68
2023-06-05,item_001,Milk 1L,Dairy,FreshFarm,223.6,214.66,0,none,0.0,0,1,0,26.4,0,41
2023-06-06,item_001,Milk 1L,Dairy,FreshFarm,223.33,219.86,0,none,0.0,0,0,0,22.9,0,37
2023-06-07,item_001,Milk 1L,Dairy,FreshFarm,223.51,214.35,0,none,0.0,0,0,0,28.7,0,41
2023-06-08,item_001,Milk 1L,Dairy,FreshFarm,224.06,212.21,0,none,0.0,0,0,0,22.6,0,65
2023-06-09,item_001,Milk 1L,Dairy,FreshFarm,220.14,227.87,0,none,0.0,0,0,0,20.1,0,55
2023-06-10,item_001,Milk 1L,Dairy,FreshFarm,220.68,218.03,0,none,0.0,0,0,1,25.1,0,78
2023-06-11,item_001,Milk 1L,Dairy,FreshFarm,222.57,222.77,0,none,0.0,0,0,1,21.5,0,60
2023-06-12,item_001,Milk 1L,Dairy,FreshFarm,179.16,225.49,1,bundle,0.2,1,0,0,23.0,0,76
2023-06-13,item_001,Milk 1L,Dairy,FreshFarm,220.68,217.68,0,none,0.0,0,0,0,22.7,0,30
2023-06-14,item_001,Milk 1L,Dairy,FreshFarm,221.27,220.98,0,none,0.0,0,0,0,24.1,0,40
2023-06-15,item_001,Milk 1L,Dairy,FreshFarm,222.23,214.96,0,none,0.0,0,0,0,26.3,0,56
2023-06-16,item_001,Milk 1L,Dairy,FreshFarm,220.97,224.19,0,none,0.0,0,0,0,26.1,0,62
2023-06-17,item_001,Milk 1L,Dairy,FreshFarm,218.69,211.62,0,none,0.0,0,0,1,27.0,0,72
2023-06-18,item_001,Milk 1L,Dairy,FreshFarm,222.55,229.52,0,none,0.0,0,0,1,25.7,0,67
2023-06-19,item_001,Milk 1L,Dairy,FreshFarm,219.61,209.67,0,none,0.0,0,0,0,23.6,0,58
2023-06-20,item_001,Milk 1L,Dairy,FreshFarm,218.59,208.02,0,none,0.0,0,1,0,19.8,0,47
2023-06-21,item_001,Milk 1L,Dairy,FreshFarm,221.92,223.96,0,none,0.0,0,0,0,23.0,0,28
2023-06-22,item_001,Milk 1L,Dairy,FreshFarm,221.64,223.92,0,none,0.0,0,0,0,20.9,0,52
2023-06-23,item_001,Milk 1L,Dairy,FreshFarm,221.79,228.53,0,none,0.0,0,0,0,29.8,0,66
2023-06-24,item_001,Milk 1L,Dairy,FreshFarm,222.84,214.13,0,none,0.0,0,0,1,23.9,0,72
2023-06-25,item_001,Milk 1L,Dairy,FreshFarm,220.02,229.65,0,none,0.0,0,1,1,21.0,0,49
2023-06-26,item_001,Milk 1L,Dairy,FreshFarm,220.79,214.6,0,none,0.0,0,0,0,23.3,0,53
2023-06-27,item_001,Milk 1L,Dairy,FreshFarm,222.81,211.08,0,none,0.0,0,0,0,25.3,0,43
2023-06-28,item_001,Milk 1L,Dairy,FreshFarm,219.71,228.25,0,none,0.0,0,0,0,24.3,0,47
2023-06-29,item_001,Milk 1L,Dairy,FreshFarm,222.48,210.35,0,none,0.0,0,0,0,24.2,0,61
2023-06-30,item_001,Milk 1L,Dairy,FreshFarm,176.12,215.4,1,discount,0.2,0,0,0,27.8,0,82
2023-07-01,item_001,Milk 1L,Dairy,FreshFarm,221.96,214.57,0,none,0.0,0,0,1,26.0,0,69
2023-07-02,item_001,Milk 1L,Dairy,FreshFarm,221.43,221.6,0,none,0.0,0,0,1,22.2,0,69
2023-07-03,item_001,Milk 1L,Dairy,FreshFarm,221.49,210.94,0,none,0.0,0,0,0,25.7,0,42
2023-07-04,item_001,Milk 1L,Dairy,FreshFarm,222.75,213.93,0,none,0.0,0,0,0,23.3,0,41
2023-07-05,item_001,Milk 1L,Dairy,FreshFarm,222.33,231.9,0,none,0.0,0,1,0,26.3,0,55
2023-07-06,item_001,Milk 1L,Dairy,FreshFarm,219.37,221.99,0,none,0.0,0,0,0,24.9,0,49
2023-07-07,item_001,Milk 1L,Dairy,FreshFarm,220.98,223.19,0,none,0.0,0,0,0,17.9,0,73
2023-07-08,item_001,Milk 1L,Dairy,FreshFarm,219.29,219.78,0,none,0.0,0,0,1,22.9,0,64
2023-07-09,item_001,Milk 1L,Dairy,FreshFarm,219.42,216.96,0,none,0.0,0,0,1,24.3,1,13
2023-07-10,item_001,Milk 1L,Dairy,FreshFarm,220.21,216.21,0,none,0.0,0,0,0,22.0,0,42
2023-07-11,item_001,Milk 1L,Dairy,FreshFarm,220.32,218.48,0,none,0.0,0,0,0,18.6,0,33
2023-07-12,item_001,Milk 1L,Dairy,FreshFarm,218.87,222.91,0,none,0.0,0,0,0,28.7,0,54
2023-07-13,item_001,Milk 1L,Dairy,FreshFarm,220.79,209.59,0,none,0.0,0,0,0,22.5,0,61
2023-07-14,item_001,Milk 1L,Dairy,FreshFarm,219.24,216.24,0,none,0.0,0,0,0,20.3,0,71
2023-07-15,item_001,Milk 1L,Dairy,FreshFarm,221.43,218.71,0,none,0.0,0,0,1,26.4,0,73
2023-07-16,item_001,Milk 1L,Dairy,FreshFarm,221.18,212.44,0,none,0.0,0,0,1,18.4,0,55
2023-07-17,item_001,Milk 1L,Dairy,FreshFarm,219.73,218.93,0,none,0.0,0,0,0,24.0,0,44
2023-07-18,item_001,Milk 1L,Dairy,FreshFarm,220.78,219.12,0,none,0.0,0,0,0,25.0,0,44
2023-07-19,item_001,Milk 1L,Dairy,FreshFarm,222.81,209.37,0,none,0.0,0,0,0,21.9,0,39
2023-07-20,item_001,Milk 1L,Dairy,FreshFarm,221.94,219.46,0,none,0.0,0,1,0,20.5,0,74
2023-07-21,item_001,Milk 1L,Dairy,FreshFarm,220.12,231.39,0,none,0.0,0,0,0,22.1,0,52
2023-07-22,item_001,Milk 1L,Dairy,FreshFarm,222.92,214.34,0,none,0.0,0,0,1,18.4,0,75
2023-07-23,item_001,Milk 1L,Dairy,FreshFarm,219.09,211.56,0,none,0.0,0,0,1,19.4,0,63
2023-07-24,item_001,Milk 1L,Dairy,FreshFarm,221.78,209.34,0,none,0.0,0,0,0,22.6,0,50
2023-07-25,item_001,Milk 1L,Dairy,FreshFarm,222.34,225.27,0,none,0.0,0,1,0,14.2,0,42
2023-07-26,item_001,Milk 1L,Dairy,FreshFarm,220.62,208.92,0,none,0.0,0,0,0,19.3,0,39
2023-07-27,item_001,Milk 1L,Dairy,FreshFarm,219.49,230.81,0,none,0.0,0,0,0,20.1,0,60
2023-07-28,item_001,Milk 1L,Dairy,FreshFarm,222.6,221.82,0,none,0.0,0,0,0,17.9,0,77
2023-07-29,item_001,Milk 1L,Dairy,FreshFarm,219.49,221.41,0,none,0.0,0,0,1,23.4,0,76
2023-07-30,item_001,Milk 1L,Dairy,FreshFarm,220.94,211.73,0,none,0.0,0,0,1,23.4,0,55
2023-07-31,item_001,Milk 1L,Dairy,FreshFarm,221.48,211.58,0,none,0.0,0,0,0,26.5,0,46
2023-08-01,item_001,Milk 1L,Dairy,FreshFarm,220.48,211.85,0,none,0.0,0,0,0,20.2,0,28
2023-08-02,item_001,Milk 1L,Dairy,FreshFarm,222.2,221.88,0,none,0.0,0,0,0,17.0,0,56
2023-08-03,item_001,Milk 1L,Dairy,FreshFarm,222.25,216.43,0,none,0.0,0,0,0,21.4,0,44
2023-08-04,item_001,Milk 1L,Dairy,FreshFarm,220.58,227.39,0,none,0.0,0,0,0,23.3,0,83
2023-08-05,item_001,Milk 1L,Dairy,FreshFarm,219.15,225.46,0,none,0.0,0,1,1,23.0,0,66
2023-08-06,item_001,Milk 1L,Dairy,FreshFarm,219.82,224.58,0,none,0.0,0,0,1,19.6,0,62
2023-08-07,item_001,Milk 1L,Dairy,FreshFarm,222.73,230.63,0,none,0.0,0,0,0,21.2,0,43
2023-08-08,item_001,Milk 1L,Dairy,FreshFarm,219.08,219.39,0,none,0.0,0,0,0,22.2,0,30
2023-08-09,item_001,Milk 1L,Dairy,FreshFarm,223.56,234.2,0,none,0.0,0,0,0,20.2,0,51
2023-08-10,item_001,Milk 1L,Dairy,FreshFarm,223.67,233.42,0,none,0.0,0,0,0,20.5,0,62
2023-08-11,item_001,Milk 1L,Dairy,FreshFarm,222.36,223.71,0,none,0.0,0,0,0,20.7,0,59
2023-08-12,item_001,Milk 1L,Dairy,FreshFarm,230.97,232.77,0,none,0.0,0,0,1,17.8,0,74
2023-08-13,item_001,Milk 1L,Dairy,FreshFarm,228.42,218.98,0,none,0.0,0,0,1,18.7,0,76
2023-08-14,item_001,Milk 1L,Dairy,FreshFarm,229.35,228.39,0,none,0.0,0,0,0,19.2,0,48
2023-08-15,item_001,Milk 1L,Dairy,FreshFarm,231.13,222.94,0,none,0.0,0,0,0,14.6,0,39
2023-08-16,item_001,Milk 1L,Dairy,FreshFarm,231.32,230.37,0,none,0.0,0,0,0,15.4,0,42
2023-08-17,item_001,Milk 1L,Dairy,FreshFarm,229.34,222.6,0,none,0.0,0,0,0,12.9,0,52
2023-08-18,item_001,Milk 1L,Dairy,FreshFarm,214.63,214.57,1,bundle,0.05,0,0,0,16.0,0,91
